epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2669.04,2.28132,2.366,2.4267,0.67223,0.52892,0.59079,0.39157,2.22105,1.89841,2.33054,0.00333315,0.00333315,0.00333315
2,5231.8,2.63277,2.6808,2.649,0.64618,0.49848,0.5464,0.35382,2.29671,2.00914,2.38701,0.00664448,0.00664448,0.00664448
3,7789.93,2.82114,2.99347,2.78893,0.62339,0.47255,0.51622,0.33909,2.35334,2.12793,2.44188,0.00993381,0.00993381,0.00993381
4,10344.4,2.81768,2.98032,2.79317,0.62697,0.47876,0.53276,0.35086,2.31955,2.06479,2.42337,0.009901,0.009901,0.009901
5,12911,2.68824,2.73919,2.70946,0.65177,0.50956,0.56116,0.37456,2.25639,1.94576,2.37973,0.009868,0.009868,0.009868
6,15492.4,2.61434,2.61281,2.66301,0.64846,0.52594,0.57857,0.38875,2.21775,1.89506,2.35386,0.009835,0.009835,0.009835
7,18051.5,2.56173,2.52538,2.62447,0.67418,0.53301,0.59195,0.3992,2.19303,1.85311,2.33726,0.009802,0.009802,0.009802
8,20606.2,2.53064,2.46383,2.59653,0.68023,0.54149,0.60011,0.40472,2.17907,1.82613,2.32644,0.009769,0.009769,0.009769
9,23166.3,2.49958,2.42822,2.58241,0.67696,0.54571,0.60913,0.41398,2.15754,1.80365,2.31534,0.009736,0.009736,0.009736
10,25719.4,2.47906,2.38109,2.56798,0.67701,0.54862,0.61179,0.41772,2.14632,1.78558,2.30595,0.009703,0.009703,0.009703
11,28267.1,2.46852,2.35983,2.55759,0.67513,0.55734,0.61583,0.42082,2.13673,1.77529,2.30093,0.00967,0.00967,0.00967
12,30829.6,2.4463,2.32174,2.54506,0.68783,0.55691,0.62025,0.42415,2.13006,1.76715,2.29592,0.009637,0.009637,0.009637
13,33384.3,2.43616,2.30262,2.53279,0.67953,0.55851,0.62169,0.42575,2.12568,1.75633,2.29177,0.009604,0.009604,0.009604
14,35940.9,2.42685,2.28732,2.52661,0.67987,0.56638,0.62712,0.43004,2.12116,1.74424,2.28849,0.009571,0.009571,0.009571
15,38496.1,2.41939,2.27051,2.52144,0.68495,0.56221,0.62963,0.43246,2.11464,1.73926,2.28417,0.009538,0.009538,0.009538
16,41059.8,2.41366,2.2691,2.51677,0.70074,0.55516,0.6303,0.4338,2.10734,1.73258,2.27981,0.009505,0.009505,0.009505
17,43629.2,2.41451,2.25473,2.51315,0.70208,0.55988,0.63278,0.43537,2.10365,1.72594,2.278,0.009472,0.009472,0.009472
18,46190.6,2.40155,2.24103,2.50837,0.69564,0.56573,0.63551,0.43857,2.09903,1.71956,2.2742,0.009439,0.009439,0.009439
19,48754.5,2.39292,2.23622,2.50458,0.70978,0.56503,0.63776,0.43958,2.09557,1.711,2.2717,0.009406,0.009406,0.009406
20,51320.6,2.38559,2.21472,2.49692,0.71433,0.56458,0.63975,0.44091,2.09191,1.70305,2.26836,0.009373,0.009373,0.009373
21,53838.3,2.38622,2.20858,2.49813,0.71668,0.56736,0.64251,0.44293,2.08797,1.69799,2.26523,0.00934,0.00934,0.00934
22,56402,2.37891,2.202,2.48979,0.71843,0.57079,0.6446,0.44508,2.08609,1.68942,2.26297,0.009307,0.009307,0.009307
23,58960.9,2.37445,2.20464,2.49193,0.7164,0.57474,0.64544,0.44635,2.08117,1.68479,2.25933,0.009274,0.009274,0.009274
24,61521.3,2.37532,2.19192,2.4866,0.71946,0.57273,0.64699,0.44756,2.07975,1.67627,2.25768,0.009241,0.009241,0.009241
25,64080.7,2.36661,2.18474,2.48585,0.71965,0.57403,0.64818,0.44902,2.07709,1.67174,2.2561,0.009208,0.009208,0.009208
26,66641.3,2.3658,2.18884,2.49156,0.72716,0.5719,0.64968,0.44947,2.07487,1.66657,2.25516,0.009175,0.009175,0.009175
27,69205.3,2.36807,2.17792,2.48582,0.72534,0.57392,0.6512,0.45073,2.07304,1.66282,2.25339,0.009142,0.009142,0.009142
28,71728.2,2.36381,2.17712,2.48403,0.72626,0.57257,0.65305,0.45143,2.06938,1.66033,2.25122,0.009109,0.009109,0.009109
29,74300.5,2.3623,2.18256,2.48144,0.72567,0.57665,0.65464,0.45252,2.06779,1.6572,2.2496,0.009076,0.009076,0.009076
30,76799.4,2.35649,2.17245,2.47706,0.72284,0.57458,0.6545,0.45373,2.06428,1.65693,2.24718,0.009043,0.009043,0.009043
31,79361,2.35089,2.16107,2.47172,0.71848,0.58074,0.65542,0.45485,2.06495,1.65082,2.24719,0.00901,0.00901,0.00901
32,81914.9,2.35112,2.17108,2.47073,0.72138,0.58164,0.65854,0.4561,2.06337,1.64723,2.24629,0.008977,0.008977,0.008977
33,84468.2,2.35024,2.1609,2.47354,0.71119,0.59249,0.65851,0.45641,2.06243,1.64389,2.24545,0.008944,0.008944,0.008944
34,87040.4,2.35235,2.16294,2.47297,0.71799,0.58633,0.65939,0.45737,2.06027,1.64101,2.24452,0.008911,0.008911,0.008911
35,89606.7,2.34744,2.15078,2.47088,0.71758,0.58628,0.66031,0.45816,2.05768,1.63823,2.24297,0.008878,0.008878,0.008878
36,92163.6,2.3486,2.15515,2.46941,0.72431,0.58265,0.66221,0.45857,2.05549,1.6342,2.24179,0.008845,0.008845,0.008845
37,94724.7,2.34428,2.15343,2.46595,0.72981,0.5801,0.66276,0.4596,2.05333,1.63129,2.23986,0.008812,0.008812,0.008812
38,97217.7,2.34369,2.14495,2.46448,0.73637,0.57556,0.66301,0.45917,2.05093,1.63014,2.23722,0.008779,0.008779,0.008779
39,99771.7,2.34327,2.14669,2.4654,0.72993,0.57999,0.66251,0.45978,2.05044,1.62727,2.23682,0.008746,0.008746,0.008746
40,102327,2.33589,2.14608,2.46554,0.71896,0.58236,0.66354,0.46098,2.04812,1.62606,2.23519,0.008713,0.008713,0.008713
41,104895,2.33866,2.13546,2.46395,0.71917,0.58486,0.66379,0.46241,2.04794,1.62272,2.2345,0.00868,0.00868,0.00868
42,107454,2.33648,2.12983,2.46429,0.71297,0.59459,0.66468,0.46285,2.04772,1.61809,2.23427,0.008647,0.008647,0.008647
43,110015,2.33298,2.12888,2.45982,0.71424,0.59752,0.66572,0.46271,2.04782,1.61369,2.23452,0.008614,0.008614,0.008614
