epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2704.27,2.24415,12.3635,1.79505,0.50812,0.24014,0.19622,0.1435,2.15833,3.5782,1.84037,0.00333032,0.00333032,0.00333032
2,5344.23,2.38553,3.9398,1.84318,0.48551,0.25561,0.2317,0.16869,2.26578,3.55414,1.85736,0.00664166,0.00664166,0.00664166
3,7885.49,2.5758,3.89975,1.91414,0.61225,0.20901,0.20517,0.14304,2.46383,3.79882,1.95452,0.00993101,0.00993101,0.00993101
4,10397.6,2.6665,3.92885,1.95009,0.50768,0.27686,0.25545,0.18383,2.39652,3.39018,1.9378,0.009901,0.009901,0.009901
5,12939,2.53633,3.56587,1.93005,0.51838,0.29542,0.28287,0.20874,2.28418,3.06739,1.90327,0.009868,0.009868,0.009868
6,14751.1,2.42792,3.2773,1.88903,0.39943,0.33955,0.31771,0.2363,2.22037,2.99399,1.89259,0.009835,0.009835,0.009835
7,16561.4,2.36184,3.07606,1.87019,0.49301,0.37144,0.37515,0.28515,2.13808,2.6584,1.85775,0.009802,0.009802,0.009802
8,18371,2.30476,2.96687,1.85512,0.50801,0.39759,0.39896,0.29948,2.11766,2.59579,1.84387,0.009769,0.009769,0.009769
9,20149.5,2.27449,2.84765,1.83873,0.563,0.38157,0.41986,0.31953,2.06938,2.52244,1.83614,0.009736,0.009736,0.009736
10,21954.1,2.22022,2.74688,1.83716,0.51933,0.45189,0.46381,0.35583,2.02189,2.3514,1.83007,0.009703,0.009703,0.009703
11,23762.8,2.19285,2.64609,1.82231,0.46829,0.46827,0.462,0.35523,2.02628,2.3535,1.82145,0.00967,0.00967,0.00967
12,25570.1,2.16314,2.57412,1.81715,0.54839,0.46691,0.48709,0.37868,1.9862,2.23661,1.8051,0.009637,0.009637,0.009637
13,27354.2,2.13806,2.52215,1.80436,0.56285,0.47842,0.50347,0.39266,1.9854,2.14973,1.81552,0.009604,0.009604,0.009604
14,29124,2.12707,2.48075,1.8018,0.5929,0.48436,0.5086,0.39379,1.971,2.14954,1.80006,0.009571,0.009571,0.009571
15,30880.7,2.10712,2.41614,1.80065,0.55482,0.48584,0.51053,0.39555,1.96749,2.13471,1.79292,0.009538,0.009538,0.009538
16,32660.3,2.10393,2.38506,1.79765,0.63622,0.49165,0.54048,0.42284,1.92204,2.08428,1.78836,0.009505,0.009505,0.009505
17,34443.4,2.08577,2.37221,1.7894,0.59628,0.4985,0.55082,0.42983,1.94327,2.011,1.78894,0.009472,0.009472,0.009472
18,36225.4,2.07292,2.30156,1.7877,0.60923,0.52296,0.54664,0.42696,1.89211,1.96083,1.7879,0.009439,0.009439,0.009439
